metric,value
cpu_user_mean,0.01
cpu_user_std,0.08
cpu_user_max,0.8
cpu_user_p50,0.0
cpu_user_p75,0.0
cpu_user_p90,0.0
cpu_user_p99,0.4
cpu_system_mean,0.12
cpu_system_std,0.2
cpu_system_max,0.8
cpu_system_p50,0.0
cpu_system_p75,0.4
cpu_system_p90,0.4
cpu_system_p99,0.8
cpu_softirq_mean,0.17
cpu_softirq_std,0.22
cpu_softirq_max,0.8
cpu_softirq_p50,0.0
cpu_softirq_p75,0.4
cpu_softirq_p90,0.4
cpu_softirq_p99,0.8
cpu_irq_mean,0.0
cpu_irq_std,0.0
cpu_irq_max,0.0
cpu_irq_p50,0.0
cpu_irq_p75,0.0
cpu_irq_p90,0.0
cpu_irq_p99,0.0
mem_used_mean,68.5
mem_used_std,0.0
mem_used_max,68.5
mem_used_p50,68.5
mem_used_p75,68.5
mem_used_p90,68.5
mem_used_p99,68.5
max_core_usage_mean,2.96
max_core_usage_std,2.94
max_core_usage_max,15.0
max_core_usage_p50,4.8
max_core_usage_p75,4.95
max_core_usage_p90,5.0
max_core_usage_p99,9.5
cache_misses,349849.0
cache_hits,9310.0
cache_hit_rate,2.5922
