metric,value
cpu_user_mean,0.03
cpu_user_std,0.11
cpu_user_max,0.8
cpu_user_p50,0.0
cpu_user_p75,0.0
cpu_user_p90,0.0
cpu_user_p99,0.4
cpu_system_mean,0.46
cpu_system_std,0.41
cpu_system_max,1.7
cpu_system_p50,0.4
cpu_system_p75,0.8
cpu_system_p90,0.8
cpu_system_p99,1.7
cpu_softirq_mean,1.39
cpu_softirq_std,0.88
cpu_softirq_max,3.3
cpu_softirq_p50,1.7
cpu_softirq_p75,2.1
cpu_softirq_p90,2.5
cpu_softirq_p99,2.9
cpu_irq_mean,0.0
cpu_irq_std,0.0
cpu_irq_max,0.0
cpu_irq_p50,0.0
cpu_irq_p75,0.0
cpu_irq_p90,0.0
cpu_irq_p99,0.0
mem_used_mean,69.82
mem_used_std,0.04
mem_used_max,69.9
mem_used_p50,69.8
mem_used_p75,69.8
mem_used_p90,69.9
mem_used_p99,69.9
max_core_usage_mean,6.94
max_core_usage_std,4.17
max_core_usage_max,18.2
max_core_usage_p50,9.5
max_core_usage_p75,9.5
max_core_usage_p90,9.95
max_core_usage_p99,13.6
cache_misses,2823550.0
cache_hits,7432506.0
cache_hit_rate,72.4694
