metric,value
cpu_user_mean,0.06
cpu_user_std,0.41
cpu_user_max,5.4
cpu_user_p50,0.0
cpu_user_p75,0.0
cpu_user_p90,0.0
cpu_user_p99,1.2
cpu_system_mean,0.41
cpu_system_std,0.39
cpu_system_max,1.7
cpu_system_p50,0.4
cpu_system_p75,0.8
cpu_system_p90,0.8
cpu_system_p99,1.3
cpu_softirq_mean,1.31
cpu_softirq_std,0.97
cpu_softirq_max,3.7
cpu_softirq_p50,1.5
cpu_softirq_p75,2.1
cpu_softirq_p90,2.5
cpu_softirq_p99,3.3
cpu_irq_mean,0.0
cpu_irq_std,0.0
cpu_irq_max,0.0
cpu_irq_p50,0.0
cpu_irq_p75,0.0
cpu_irq_p90,0.0
cpu_irq_p99,0.0
mem_used_mean,69.97
mem_used_std,0.05
mem_used_max,70.0
mem_used_p50,70.0
mem_used_p75,70.0
mem_used_p90,70.0
mem_used_p99,70.0
max_core_usage_mean,7.35
max_core_usage_std,5.85
max_core_usage_max,57.9
max_core_usage_p50,9.5
max_core_usage_p75,10.0
max_core_usage_p90,13.6
max_core_usage_p99,21.07
cache_misses,2579080.0
cache_hits,6513063.0
cache_hit_rate,71.634
