metric,value
cpu_user_mean,0.01
cpu_user_std,0.08
cpu_user_max,0.4
cpu_user_p50,0.0
cpu_user_p75,0.0
cpu_user_p90,0.0
cpu_user_p99,0.4
cpu_system_mean,0.25
cpu_system_std,0.24
cpu_system_max,0.8
cpu_system_p50,0.4
cpu_system_p75,0.4
cpu_system_p90,0.4
cpu_system_p99,0.8
cpu_softirq_mean,0.62
cpu_softirq_std,0.4
cpu_softirq_max,1.7
cpu_softirq_p50,0.8
cpu_softirq_p75,0.8
cpu_softirq_p90,1.2
cpu_softirq_p99,1.7
cpu_irq_mean,0.0
cpu_irq_std,0.0
cpu_irq_max,0.0
cpu_irq_p50,0.0
cpu_irq_p75,0.0
cpu_irq_p90,0.0
cpu_irq_p99,0.0
mem_used_mean,69.65
mem_used_std,0.05
mem_used_max,69.7
mem_used_p50,69.7
mem_used_p75,69.7
mem_used_p90,69.7
mem_used_p99,69.7
max_core_usage_mean,5.71
max_core_usage_std,2.89
max_core_usage_max,13.6
max_core_usage_p50,5.0
max_core_usage_p75,9.1
max_core_usage_p90,9.5
max_core_usage_p99,13.59
cache_misses,936901.0
cache_hits,1538611.0
cache_hit_rate,62.1532
