metric,value
cpu_user_mean,0.08
cpu_user_std,0.48
cpu_user_max,7.6
cpu_user_p50,0.0
cpu_user_p75,0.0
cpu_user_p90,0.0
cpu_user_p99,1.69
cpu_system_mean,0.4
cpu_system_std,0.39
cpu_system_max,2.1
cpu_system_p50,0.4
cpu_system_p75,0.8
cpu_system_p90,0.8
cpu_system_p99,1.3
cpu_softirq_mean,1.23
cpu_softirq_std,0.94
cpu_softirq_max,4.1
cpu_softirq_p50,1.3
cpu_softirq_p75,2.1
cpu_softirq_p90,2.5
cpu_softirq_p99,3.3
cpu_irq_mean,0.0
cpu_irq_std,0.0
cpu_irq_max,0.0
cpu_irq_p50,0.0
cpu_irq_p75,0.0
cpu_irq_p90,0.0
cpu_irq_p99,0.0
mem_used_mean,70.0
mem_used_std,0.0
mem_used_max,70.0
mem_used_p50,70.0
mem_used_p75,70.0
mem_used_p90,70.0
mem_used_p99,70.0
max_core_usage_mean,6.71
max_core_usage_std,6.42
max_core_usage_max,89.5
max_core_usage_p50,5.3
max_core_usage_p75,9.5
max_core_usage_p90,9.5
max_core_usage_p99,14.29
cache_misses,2577688.0
cache_hits,6627063.0
cache_hit_rate,71.9961
