metric,value
cpu_user_mean,0.03
cpu_user_std,0.12
cpu_user_max,1.3
cpu_user_p50,0.0
cpu_user_p75,0.0
cpu_user_p90,0.0
cpu_user_p99,0.4
cpu_system_mean,0.42
cpu_system_std,0.36
cpu_system_max,1.3
cpu_system_p50,0.4
cpu_system_p75,0.8
cpu_system_p90,0.8
cpu_system_p99,1.3
cpu_softirq_mean,1.37
cpu_softirq_std,0.91
cpu_softirq_max,3.7
cpu_softirq_p50,1.7
cpu_softirq_p75,2.1
cpu_softirq_p90,2.5
cpu_softirq_p99,3.3
cpu_irq_mean,0.0
cpu_irq_std,0.0
cpu_irq_max,0.0
cpu_irq_p50,0.0
cpu_irq_p75,0.0
cpu_irq_p90,0.0
cpu_irq_p99,0.0
mem_used_mean,69.9
mem_used_std,0.0
mem_used_max,69.9
mem_used_p50,69.9
mem_used_p75,69.9
mem_used_p90,69.9
mem_used_p99,69.9
max_core_usage_mean,6.65
max_core_usage_std,4.05
max_core_usage_max,17.4
max_core_usage_p50,9.1
max_core_usage_p75,9.5
max_core_usage_p90,9.5
max_core_usage_p99,14.3
cache_misses,2762733.0
cache_hits,7184091.0
cache_hit_rate,72.225
