metric,value
cpu_user_mean,0.06
cpu_user_std,0.47
cpu_user_max,7.5
cpu_user_p50,0.0
cpu_user_p75,0.0
cpu_user_p90,0.0
cpu_user_p99,0.8
cpu_system_mean,0.48
cpu_system_std,0.39
cpu_system_max,1.7
cpu_system_p50,0.4
cpu_system_p75,0.8
cpu_system_p90,0.8
cpu_system_p99,1.7
cpu_softirq_mean,1.42
cpu_softirq_std,0.91
cpu_softirq_max,3.7
cpu_softirq_p50,1.7
cpu_softirq_p75,2.1
cpu_softirq_p90,2.5
cpu_softirq_p99,2.9
cpu_irq_mean,0.0
cpu_irq_std,0.0
cpu_irq_max,0.0
cpu_irq_p50,0.0
cpu_irq_p75,0.0
cpu_irq_p90,0.0
cpu_irq_p99,0.0
mem_used_mean,69.7
mem_used_std,0.0
mem_used_max,69.7
mem_used_p50,69.7
mem_used_p75,69.7
mem_used_p90,69.7
mem_used_p99,69.7
max_core_usage_mean,7.2
max_core_usage_std,5.86
max_core_usage_max,78.9
max_core_usage_p50,9.5
max_core_usage_p75,9.5
max_core_usage_p90,9.95
max_core_usage_p99,14.29
cache_misses,2821266.0
cache_hits,7507729.0
cache_hit_rate,72.686
