metric,mean,std
cache_hit_rate,3.7774666666666668,0.12715126298295637
cache_hits,103293.13333333333,4812.222353716542
cache_misses,2630318.4,51116.33048159315
cpu_irq_max,0.0,0.0
cpu_irq_mean,0.0,0.0
cpu_irq_p50,0.0,0.0
cpu_irq_p75,0.0,0.0
cpu_irq_p90,0.0,0.0
cpu_irq_p99,0.0,0.0
cpu_irq_std,0.0,0.0
cpu_softirq_max,3.5,0.32800336415432046
cpu_softirq_mean,1.667,0.08309321728408814
cpu_softirq_p50,1.7,0.0
cpu_softirq_p75,2.086666666666667,0.07302967433402224
cpu_softirq_p90,2.458666666666667,0.12181765155298742
cpu_softirq_p99,3.0866666666666664,0.22853858548934625
cpu_softirq_std,0.6423333333333333,0.021283526628524865
cpu_system_max,1.6033333333333333,0.23265089035206643
cpu_system_mean,0.5003333333333333,0.0490940921604369
cpu_system_p50,0.4,0.0
cpu_system_p75,0.7866666666666667,0.07302967433402217
cpu_system_p90,0.8,0.0
cpu_system_p99,1.3299999999999998,0.18597367258983658
cpu_system_std,0.33566666666666667,0.018134237638032742
cpu_user_max,1.4166666666666667,1.3429466657788152
cpu_user_mean,0.020666666666666667,0.009802650357071221
cpu_user_p50,0.0,0.0
cpu_user_p75,0.0,0.0
cpu_user_p90,0.0,0.0
cpu_user_p99,0.4396666666666667,0.1594058652780928
cpu_user_std,0.12666666666666665,0.08960962591971504
max_core_usage_max,21.089999999999996,9.395793262651258
max_core_usage_mean,8.748,0.32047809113346853
max_core_usage_p50,9.5,0.0
max_core_usage_p75,9.733333333333333,0.2537081317024624
max_core_usage_p90,13.483333333333333,0.6797988208151063
max_core_usage_p99,16.316,1.7118564232414764
max_core_usage_std,3.4339999999999997,0.3870275763141255
mem_used_max,68.5,0.026261286571943456
mem_used_mean,68.49533333333333,0.024315928273788392
mem_used_p50,68.49333333333334,0.025370813170246028
mem_used_p75,68.5,0.026261286571943456
mem_used_p90,68.5,0.026261286571943456
mem_used_p99,68.5,0.026261286571943456
mem_used_std,0.004666666666666667,0.014319827906241327
