metric,mean,std
cache_hit_rate,14.737846666666666,0.13197808787128654
cache_hits,899014.6,8140.139499778987
cache_misses,5201024.966666667,10904.50885384943
cpu_irq_max,0.0,0.0
cpu_irq_mean,0.0,0.0
cpu_irq_p50,0.0,0.0
cpu_irq_p75,0.0,0.0
cpu_irq_p90,0.0,0.0
cpu_irq_p99,0.0,0.0
cpu_irq_std,0.0,0.0
cpu_softirq_max,4.25,0.3308817894969285
cpu_softirq_mean,1.988,0.03305168366518483
cpu_softirq_p50,2.1133333333333337,0.07302967433402212
cpu_softirq_p75,2.566666666666667,0.15161960871578067
cpu_softirq_p90,3.0766666666666667,0.19945327571990967
cpu_softirq_p99,3.8466666666666662,0.2129162589689506
cpu_softirq_std,1.0133333333333332,0.016883645082279138
cpu_system_max,1.7066666666666668,0.16801751413906607
cpu_system_mean,0.4713333333333333,0.01357821107848725
cpu_system_p50,0.4,0.0
cpu_system_p75,0.8,0.0
cpu_system_p90,0.8133333333333334,0.07302967433402213
cpu_system_p99,1.3733333333333335,0.15070714541175856
cpu_system_std,0.36733333333333335,0.012015315896469559
cpu_user_max,0.8300000000000001,0.39317452472986053
cpu_user_mean,0.02,0.004548588261473419
cpu_user_p50,0.0,0.0
cpu_user_p75,0.0,0.0
cpu_user_p90,0.0,0.0
cpu_user_p99,0.4,0.0
cpu_user_std,0.09566666666666666,0.015013403972802927
max_core_usage_max,19.14333333333333,1.9365243186651724
max_core_usage_mean,8.442666666666666,0.12370524849717231
max_core_usage_p50,9.5,0.0
max_core_usage_p75,10.0,0.0
max_core_usage_p90,13.6,0.0
max_core_usage_p99,17.270666666666667,1.1234857497472124
max_core_usage_std,4.184333333333333,0.09398031097296244
mem_used_max,68.71333333333334,0.03457459036417429
mem_used_mean,68.706,0.023722534027577263
mem_used_p50,68.70666666666668,0.025370813170244783
mem_used_p75,68.70933333333333,0.028639655812479327
mem_used_p90,68.71333333333334,0.03457459036417429
mem_used_p99,68.71333333333334,0.03457459036417429
mem_used_std,0.006,0.013796551293211175
