metric,mean,std
cache_hit_rate,72.14913666666666,0.05047782362741911
cache_hits,7324360.4,13044.982268527921
cache_misses,2827335.566666667,6886.975712235271
cpu_irq_max,0.0,0.0
cpu_irq_mean,0.0,0.0
cpu_irq_p50,0.0,0.0
cpu_irq_p75,0.0,0.0
cpu_irq_p90,0.0,0.0
cpu_irq_p99,0.0,0.0
cpu_irq_std,0.0,0.0
cpu_softirq_max,3.6733333333333333,0.4193042951771697
cpu_softirq_mean,1.387,0.02718392019634725
cpu_softirq_p50,1.7,0.0
cpu_softirq_p75,2.1,0.0
cpu_softirq_p90,2.5,0.0
cpu_softirq_p99,3.2199999999999998,0.19369367924460096
cpu_softirq_std,0.9213333333333333,0.016965143440419907
cpu_system_max,1.7133333333333334,0.25425121073638873
cpu_system_mean,0.44433333333333336,0.01887953340549484
cpu_system_p50,0.4,0.0
cpu_system_p75,0.8,0.0
cpu_system_p90,0.8,0.0
cpu_system_p99,1.4400000000000002,0.17733661737517414
cpu_system_std,0.381,0.01668160250302607
cpu_user_max,1.6400000000000001,2.2058855442843717
cpu_user_mean,0.029666666666666668,0.011290317283753194
cpu_user_p50,0.0,0.0
cpu_user_p75,0.0,0.0
cpu_user_p90,0.0,0.0
cpu_user_p99,0.4796666666666667,0.19241627526928623
cpu_user_std,0.153,0.12066339615812988
max_core_usage_max,25.166666666666668,21.27142057628811
max_core_usage_mean,6.809,0.15768475753420433
max_core_usage_p50,9.09,0.7940945830923115
max_core_usage_p75,9.5,0.0
max_core_usage_p90,10.26,1.2733610155262602
max_core_usage_p99,14.28,1.0358970791640885
max_core_usage_std,4.397,0.6360663053704276
mem_used_max,69.88666666666668,0.03457459036417847
mem_used_mean,69.87400000000001,0.03801995846104374
mem_used_p50,69.87666666666668,0.04301830671521016
mem_used_p75,69.88333333333334,0.037904902178947514
mem_used_p90,69.88333333333334,0.037904902178947514
mem_used_p99,69.88666666666668,0.03457459036417847
mem_used_std,0.013666666666666667,0.020254132542705236
