metric,mean,std
cache_hit_rate,62.34086666666666,0.23285783635948967
cache_hits,1543444.0333333334,36245.155769053985
cache_misses,932199.7333333333,13410.371297627433
cpu_irq_max,0.0,0.0
cpu_irq_mean,0.0,0.0
cpu_irq_p50,0.0,0.0
cpu_irq_p75,0.0,0.0
cpu_irq_p90,0.0,0.0
cpu_irq_p99,0.0,0.0
cpu_irq_std,0.0,0.0
cpu_softirq_max,1.8866666666666667,0.2285385854893464
cpu_softirq_mean,0.62,0.03107277331329328
cpu_softirq_p50,0.6133333333333334,0.20296650536196992
cpu_softirq_p75,0.8,0.0
cpu_softirq_p90,1.2,0.0
cpu_softirq_p99,1.6866666666666668,0.07302967433402212
cpu_softirq_std,0.38666666666666666,0.013978637231524912
cpu_system_max,1.34,0.98771767570321
cpu_system_mean,0.267,0.028302552583797456
cpu_system_p50,0.37333333333333335,0.10148325268098497
cpu_system_p75,0.4,0.0
cpu_system_p90,0.584,0.20030321842233295
cpu_system_p99,0.9933333333333334,0.3973475273249657
cpu_system_std,0.2753333333333333,0.0572793116249653
cpu_user_max,1.9933333333333334,2.184101382851701
cpu_user_mean,0.02866666666666667,0.04861767333922449
cpu_user_p50,0.0,0.0
cpu_user_p75,0.0,0.0
cpu_user_p90,0.0,0.0
cpu_user_p99,0.6896666666666668,1.444572442015244
cpu_user_std,0.17866666666666667,0.24830089273567535
max_core_usage_max,26.996666666666666,25.68406836574167
max_core_usage_mean,5.991,1.1245914200583986
max_core_usage_p50,5.0,0.0
max_core_usage_p75,7.827333333333333,1.8795908089782205
max_core_usage_p90,9.498666666666667,0.007302967433402031
max_core_usage_p99,18.882,21.427891492004143
max_core_usage_std,4.1146666666666665,4.023885352906235
mem_used_max,69.41333333333334,0.2837353469810148
mem_used_mean,69.385,0.24954786701359194
mem_used_p50,69.38666666666667,0.25152408993194025
mem_used_p75,69.38666666666667,0.25152408993194025
mem_used_p90,69.38666666666667,0.25152408993194025
mem_used_p99,69.41000000000001,0.2771156860379364
mem_used_std,0.007333333333333333,0.017991057804352145
