metric,mean,std
cache_hit_rate,7.16265,0.11643174336094521
cache_hits,328556.8,7217.628421274286
cache_misses,4258449.2,57120.903304337204
cpu_irq_max,0.0,0.0
cpu_irq_mean,0.0,0.0
cpu_irq_p50,0.0,0.0
cpu_irq_p75,0.0,0.0
cpu_irq_p90,0.0,0.0
cpu_irq_p99,0.0,0.0
cpu_irq_std,0.0,0.0
cpu_softirq_max,4.58,0.4663874369870081
cpu_softirq_mean,2.4523333333333337,0.06563658217442622
cpu_softirq_p50,2.5133333333333336,0.0730296743340222
cpu_softirq_p75,2.993333333333333,0.1720732268608305
cpu_softirq_p90,3.432666666666667,0.18534094088413425
cpu_softirq_p99,4.26,0.2252967391900185
cpu_softirq_std,0.9359999999999999,0.024996551486292987
cpu_system_max,1.9333333333333333,0.2218003658672605
cpu_system_mean,0.6743333333333333,0.038298584950300724
cpu_system_p50,0.7733333333333334,0.101483252680985
cpu_system_p75,0.8,0.0
cpu_system_p90,1.226,0.043912137981075
cpu_system_p99,1.72,0.09247553264475442
cpu_system_std,0.411,0.01748891274395058
cpu_user_max,1.8666666666666667,2.1531585993658218
cpu_user_mean,0.023,0.012635472781569873
cpu_user_p50,0.0,0.0
cpu_user_p75,0.0,0.0
cpu_user_p90,0.0,0.0
cpu_user_p99,0.49600000000000005,0.4021459676663995
cpu_user_std,0.14866666666666667,0.12552601965009247
max_core_usage_max,28.3,20.224447479772323
max_core_usage_mean,10.383666666666667,0.27025509447918694
max_core_usage_p50,9.983333333333333,0.09128709291752768
max_core_usage_p75,13.640666666666666,0.15655633189836599
max_core_usage_p90,14.276666666666667,0.12780193008453886
max_core_usage_p99,18.808,1.3026641136929538
max_core_usage_std,4.175333333333334,0.6365138529973018
mem_used_max,68.5,0.026261286571941374
mem_used_mean,68.49766666666666,0.020956989342430062
mem_used_p50,68.5,0.026261286571941374
mem_used_p75,68.5,0.026261286571941374
mem_used_p90,68.5,0.026261286571941374
mem_used_p99,68.5,0.026261286571941374
mem_used_std,0.003,0.011492126240049812
