metric,mean,std
totalRequests,1136.5,116.67261889578035
queriesPerSecond,18.875,1.87383297014435
latency_mean_ms,30.5,3.5355339059327378
latency_p99_ms,343.5,12.020815280171307
latency_p95_ms,167.5,12.020815280171307
latency_p90_ms,90,32.526911934581186
latency_p75_ms,10.5,0.7071067811865476
latency_p50_ms,0,0.0
